objectid;arrondissement;n_sq_evp;st_area(shape);st_perimeter(shape);geo_shape;geo_point_2d
327;14;100365;398.27636416818063;81.90688462895929;"{""coordinates"": [[[2.3235655600157314, 48.8258553184648], [2.32324241397365, 48.825919490193805], [2.3232957410170196, 48.82605448380097], [2.3236290168406675, 48.82599575830041], [2.3235655600157314, 48.8258553184648]]], ""type"": ""Polygon""}";48.82595626309104, 2.3234346414228706
455;13;100502;888.6589155970343;235.96468019333608;"{""coordinates"": [[[2.3683735414206977, 48.827499047856094], [2.368292791334312, 48.82756847205799], [2.368293646948463, 48.82757542783197], [2.3681711287124956, 48.82767944064787], [2.3681617652860676, 48.82768021500446], [2.3679984092349042, 48.827819788028236], [2.368141754206231, 48.82789561881543], [2.368093580803837, 48.82793697197068], [2.368112232169921, 48.82794694113578], [2.3678432732035994, 48.828175712398725], [2.3684500266505055, 48.82807829897036], [2.3682291806470515, 48.82796605999032], [2.3682565839405467, 48.82794209076691], [2.3682138703498703, 48.82791992402866], [2.3682955233886673, 48.827850680045565], [2.368131927904394, 48.827767569949195], [2.3684191698852475, 48.82752221745261], [2.3683735414206977, 48.827499047856094]]], ""type"": ""Polygon""}";48.827936116401496, 2.36816352852366
414;16;100459;228.1803586661516;71.13565050990277;"{""coordinates"": [[[2.2627807035743337, 48.84304483900559], [2.2627448982780334, 48.84298380647242], [2.262708531486374, 48.84299377401597], [2.2626780652438856, 48.84294495095074], [2.2626352228121855, 48.842956793321044], [2.2625640421307116, 48.84297646989112], [2.262589560560511, 48.84301471106386], [2.2625276537096375, 48.84303225930525], [2.2625262046447387, 48.843030089183486], [2.2624845559595665, 48.84304133807874], [2.2625226308511466, 48.8431186596979], [2.26253243839333, 48.84312013217078], [2.2625444662514838, 48.843123580757684], [2.2625549583483333, 48.843128289788055], [2.262562920251582, 48.84313375937761], [2.262569730423218, 48.84314079396744], [2.262603402851646, 48.84310390697332], [2.2626521077718964, 48.84308182093873], [2.262660352237341, 48.8430789721822], [2.2626694098999476, 48.84307662399064], [2.2627807035743337, 48.84304483900559]]], ""type"": ""Polygon""}";48.84303826620685, 2.262626767460929
550;20;100595;781.1612794654848;112.42155943480407;"{""coordinates"": [[[2.4025663257024097, 48.875087236333975], [2.4022334483002545, 48.87502759552858], [2.4021210575169354, 48.87529611785325], [2.4024494207816836, 48.875356480162395], [2.4025663257024097, 48.875087236333975]]], ""type"": ""Polygon""}";48.875191619454505, 2.4023428224365233
924;12;100967;2759.1070443592694;257.1423031623207;"{""coordinates"": [[[2.4010105921188183, 48.8352883641404], [2.4007160245559156, 48.835172640625], [2.400512267535153, 48.83537773132167], [2.4007082142485747, 48.83546152666755], [2.4004330200284123, 48.83571788451391], [2.4009919477602333, 48.835961543435296], [2.401321519092105, 48.83561640425488], [2.4008729435548366, 48.83544308213117], [2.4010105921188183, 48.8352883641404]]], ""type"": ""Polygon""}";48.835594989368275, 2.4008525430955605
937;10;101002;527.2601942090258;114.34946805346969;"{""coordinates"": [[[2.3697918990199374, 48.87543671460193], [2.369791464954179, 48.875473940256946], [2.369790287053859, 48.87557511904233], [2.3698192575511623, 48.87557497027924], [2.3698182445255647, 48.87562443911406], [2.369817606783289, 48.87565562466231], [2.369821086927572, 48.87567314762092], [2.369865876809873, 48.87567360553575], [2.3698658743567136, 48.875669976709986], [2.3700092149239183, 48.87567104772496], [2.3700092159147563, 48.87567434738672], [2.3700448096901106, 48.87567433684859], [2.3700454557530723, 48.87563670311897], [2.3700390112624246, 48.87563655498964], [2.3700389912178297, 48.87560664932849], [2.370035131343164, 48.87560665059987], [2.370035125417726, 48.87559665716835], [2.370046238733966, 48.875596654497265], [2.3700462283808994, 48.8755811652117], [2.3700361826273757, 48.87558116810488], [2.3700361762996374, 48.875571546096], [2.3700466119987142, 48.87557154255691], [2.3700472151622836, 48.87554207724998], [2.370018566489168, 48.87554132123299], [2.3700185479258837, 48.87551366121436], [2.3700477801935596, 48.87551452462533], [2.3700490945706054, 48.87545038023655], [2.3700672336007016, 48.87545037496502], [2.3700665926633193, 48.87540416649795], [2.3700499558149, 48.8753940531708], [2.3699682044613133, 48.87539996863499], [2.3699704732001545, 48.875410563041676], [2.3699423810557443, 48.875412497145795], [2.3699403758629893, 48.87540198236775], [2.369909427754386, 48.875404221595126], [2.369912522506942, 48.87542362393364], [2.369872060696872, 48.87542651725373], [2.3698690597029417, 48.8754071423877], [2.3697929673652602, 48.87541264864584], [2.3697918990199374, 48.87543671460193]]], ""type"": ""Polygon""}";48.87553384774463, 2.369925556133673
1055;16;101228;334.9119992072101;80.31904467756497;"{""coordinates"": [[[2.272397909507538, 48.86111155085562], [2.2723351383683035, 48.86108691807293], [2.272396277317024, 48.86102629282646], [2.2722064071064474, 48.86095088117644], [2.2720880991738923, 48.86107156202455], [2.2721868504651286, 48.86111495937402], [2.2721747073405667, 48.86112810334905], [2.2722303574094225, 48.86115286288771], [2.272323113960184, 48.861194131762964], [2.272345991907444, 48.86117107919507], [2.272341624412792, 48.86116924223651], [2.272397909507538, 48.86111155085562]]], ""type"": ""Polygon""}";48.8610692263481, 2.2722553497140234
1449;20;101516;3084.1558870439394;334.35130038260615;"{""coordinates"": [[[[2.4058279480032243, 48.8720791612299], [2.405982734797198, 48.87187546591701], [2.4062137309792506, 48.87194530045895], [2.4063533085410707, 48.8718349834936], [2.4064752188651912, 48.8718857744756], [2.4069875381215393, 48.87145935925228], [2.4068042225421697, 48.871365188162116], [2.4067923106372864, 48.87137685824648], [2.4067846524973953, 48.87138395830963], [2.4067769932163783, 48.87139091896977], [2.406768482670028, 48.8713978088597], [2.406759972920207, 48.87140462860487], [2.406752314112153, 48.871411307774025], [2.4067438026650523, 48.87141791706537], [2.4067344399417703, 48.87142445648548], [2.4067259281606255, 48.871430855329606], [2.406716565912266, 48.871437113258985], [2.4067072017239535, 48.87144330192925], [2.4066978383426276, 48.87144941955534], [2.4066884738203003, 48.87145539777823], [2.4066791109142947, 48.87146123391356], [2.4066688939846594, 48.871467001962095], [2.406658677308029, 48.87147262791619], [2.4066484614179835, 48.871478184624586], [2.406638244397334, 48.8714836010303], [2.40662802761977, 48.871488876240875], [2.406617811075028, 48.871494011155626], [2.4066067418899415, 48.87149907619117], [2.406595672937654, 48.87150400093072], [2.4065846028550952, 48.87150878536747], [2.40657353301576, 48.87151342860893], [2.40656246340949, 48.87151793155441], [2.406551393227068, 48.871522365247245], [2.4065394712133963, 48.87152665801689], [2.4065284001546585, 48.87153080931231], [2.4065164772444305, 48.87153482148292], [2.4065045545777055, 48.871538692458124], [2.4064926321342934, 48.87154242403642], [2.4064807085817677, 48.871546013513246], [2.4064687852525437, 48.87154946359318], [2.406456862157166, 48.87155277337695], [2.406444085867527, 48.87155594222997], [2.4064321618868663, 48.87155897051528], [2.406419386065159, 48.87156185877568], [2.406407461189465, 48.87156460646186], [2.406394684482977, 48.87156721322366], [2.4063819080005904, 48.8715696805884], [2.406369130399543, 48.87157200675081], [2.4063563530431975, 48.87157419171756], [2.4063435759112646, 48.87157623728729], [2.406330798460441, 48.87157807151056], [2.4063180204449384, 48.871579835581564], [2.4063052421005384, 48.87158138920542], [2.406291611915717, 48.871582802803296], [2.4062788326885016, 48.87158407492834], [2.4062660550598647, 48.871585206763825], [2.406253274940022, 48.87158619828948], [2.406239644343263, 48.871587049795565], [2.4062268655042094, 48.87158768968505], [2.406213234015431, 48.87158826059144], [2.4062004542948787, 48.87158861898218], [2.4061868213610573, 48.87158883823871], [2.4061740421124576, 48.871588916036686], [2.406161261736679, 48.87158885353162], [2.4061476289579073, 48.871588580848716], [2.4061348476914675, 48.87158823774412], [2.406121214032547, 48.871587683562204], [2.4061084326857825, 48.87158698881476], [2.406094799500173, 48.871586154039896], [2.406082018626907, 48.871585178699725], [2.406069236074035, 48.871583992006315], [2.4060556022461492, 48.871582735436064], [2.4060428201674604, 48.871581268149896], [2.4060300375363535, 48.87157972981223], [2.4060172545792358, 48.871577981027315], [2.406004471859418, 48.871576091946125], [2.4059916880140477, 48.87157406256185], [2.4059789057797007, 48.87157189198871], [2.405966121856599, 48.87156951096161], [2.405953337371377, 48.87156705978227], [2.4059405544874357, 48.87156446831341], [2.405928622000341, 48.87156166522351], [2.4059158382395127, 48.87155879225596], [2.405879268184936, 48.87160736185443], [2.405546665220779, 48.87199691993244], [2.4058279480032243, 48.8720791612299]], [[2.406199360267425, 48.87169750223166], [2.406224476485177, 48.87166343594239], [2.4063808594192886, 48.87171360751583], [2.40635574327962, 48.871747673836346], [2.406199360267425, 48.87169750223166]]]], ""type"": ""MultiPolygon""}";48.87172887184172, 2.4062330722347536
1784;18;487;266.44072656439164;80.01459401944014;"{""coordinates"": [[[2.336953337406326, 48.88669586492005], [2.336857882287849, 48.886560411877625], [2.336819530135723, 48.88656996706304], [2.336822087196567, 48.88657263694223], [2.3367794731549254, 48.886583175756726], [2.3367351539789563, 48.88652640837851], [2.3366260625520656, 48.88656266118696], [2.336726631290014, 48.88670387506194], [2.3368374273264108, 48.88666635815791], [2.3368802810903344, 48.88672491782873], [2.3369586694999884, 48.88669822550569], [2.336953337406326, 48.88669586492005]]], ""type"": ""Polygon""}";48.886625878585356, 2.336787268884731
2287;9;627;219.36427295910363;81.5929498117791;"{""coordinates"": [[[2.342005621400776, 48.877964473468936], [2.3421292110708998, 48.87826228207476], [2.3422059011961314, 48.878250615535066], [2.342097649116091, 48.87794859067985], [2.342005621400776, 48.877964473468936]]], ""type"": ""Polygon""}";48.87810175581381, 2.342107805839295
